Winery,Wine,Rating,num_reviews,Price,Country,Region,Food Pairings
Château Lacoste Garzac,Bordeaux,3.4,2013,4.67,Francia,Sin región,Sin maridaje
Château Haut Bernin,Bordeaux,3.3,68,4.9,Francia,Sin región,Sin maridaje
Château de Brandey,Bordeaux Rouge,3.6,330,4.9,Francia,Sin región,Sin maridaje
Château La Fleur Saint-Jean,Bordeaux,3.6,164,4.95,Francia,Sin región,Sin maridaje
Lafleur Chevalier,Bordeaux,3.3,88,5.0,Francia,Sin región,Sin maridaje
Château Roquefort,Bordeaux Rouge,3.7,2867,5.0,Francia,Sin región,Sin maridaje
Les Vignerons des Albères,Malicieuse Syrah,3.4,49,5.05,Francia,Sin región,Sin maridaje
Vignerons Catalans,4 Saisons Cabernet Sauvignon,3.4,309,5.1,Francia,Sin región,Sin maridaje
Château Reindent,Bordeaux Supérieur,3.7,78,5.27,Francia,Sin región,Sin maridaje
Marquille,Bordeaux Rouge,2.6,106,5.4,Francia,Sin región,Sin maridaje
Arnaud de Villeneuve,To Bi or Not To Bi Merlot - Grenache,3.3,80,5.4,Francia,Sin región,Sin maridaje
Château La Galante,Bordeaux Supérieur,3.6,317,5.45,Francia,Sin región,Sin maridaje
Pierrick Harang,Le Petit Balthazar Merlot,3.0,38,5.5,Francia,Sin región,Sin maridaje
Piaugier,Les Ramières,3.6,88,5.5,Francia,Sin región,Sin maridaje
Les Vignerons de Buzet,Roches d'Hillac,3.3,718,5.86,Francia,Sin región,Sin maridaje
Les Vignerons des Albères,Vieilles Vignes Grenache,3.7,93,5.9,Francia,Sin región,Sin maridaje
Château Montesquieu des Albères,Côtes du Roussillon Rouge,3.6,36,5.9,Francia,Sin región,Sin maridaje
Château Haut Maurin,Bordeaux Rouge,3.4,31,5.9,Francia,Sin región,Sin maridaje
Château Coustaut la Grangeotte,Bordeaux Rouge,3.6,98,5.9,Francia,Sin región,Sin maridaje
Demon Noir,Rouge,3.8,29,5.9,Francia,Sin región,Sin maridaje
Tarani,Millesimé Rouge,4.0,95,5.9,Francia,Sin región,Sin maridaje
Château de Callac,Graves Rouge,3.7,111,5.94,Francia,Sin región,Sin maridaje
Vignerons de Tautavel Vingrau,Le Cirque Rouge,3.6,40,5.95,Francia,Sin región,Sin maridaje
Marrenon,Les Grains Pinot Noir Cuvée Rare,3.4,133,5.99,Francia,Sin región,Sin maridaje
Château Gabelot,Bordeaux,3.7,29,6.0,Francia,Sin región,Sin maridaje
Château des Graves,Bordeaux Supérieur,3.6,281,6.0,Francia,Sin región,Sin maridaje
Château du Juge,Bordeaux Rouge,3.5,136,6.0,Francia,Sin región,Sin maridaje
Lavau,Koudiat Côtes-du-Rhône,3.7,430,6.0,Francia,Sin región,Sin maridaje
Abbe Rous,Malis Rouge,3.5,141,6.05,Francia,Sin región,Sin maridaje
Raoul Mapoul,Rouge,3.8,111,6.1,Francia,Sin región,Sin maridaje
La Belle Angèle,Merlot,3.4,848,6.25,Francia,Sin región,Sin maridaje
La Belle Angèle,Syrah,3.6,26,6.25,Francia,Sin región,Sin maridaje
Uby,No. 7 Tannat - Merlot,3.6,1914,6.25,Francia,Sin región,Sin maridaje
La Belle Angèle,Syrah,3.3,1260,6.25,Francia,Sin región,Sin maridaje
Semper,Squerda Côtes du Roussillon Villages 'Lesquerde',3.7,320,6.3,Francia,Sin región,Sin maridaje
Château du Juge,Bordeaux Supérieur Rouge,3.3,78,6.3,Francia,Sin región,Sin maridaje
Château Hauchat,Fronsac,3.7,207,6.5,Francia,Sin región,Sin maridaje
Château du Juge,Bordeaux Supérieur Rouge,3.3,26,6.5,Francia,Sin región,Sin maridaje
Château l'Ombrière,Bordeaux Supérieur,3.6,764,6.5,Francia,Sin región,Sin maridaje
Château Galau,Côtes de Bourg,3.6,39,6.5,Francia,Sin región,Sin maridaje
Château Galau,Côtes de Bourg,3.6,633,6.5,Francia,Sin región,Sin maridaje
Château Galau,Côtes de Bourg,3.6,63,6.5,Francia,Sin región,Sin maridaje
Château Bellevue,Bordeaux Supérieur,3.8,42,6.5,Francia,Sin región,Sin maridaje
Domaine de la Citadelle,Court Métrage Rouge,3.5,235,6.5,Francia,Sin región,Sin maridaje
Château Le Bourdillot,La Gravette des Lucques Bordeaux Supérieur,3.7,444,6.5,Francia,Sin región,Sin maridaje
Château La Guillaumette,Bordeaux,3.5,432,6.5,Francia,Sin región,Sin maridaje
Domaine de Pellehaut,Harmonie de Gascogne Rouge,3.8,56,6.5,Francia,Sin región,Sin maridaje
Château Greteau Medeville,Bordeaux Supérieur,3.5,238,6.7,Francia,Sin región,Sin maridaje
Marrenon,Les Meridiennes Rouge,3.1,41,6.75,Francia,Sin región,Sin maridaje
Cellier des Chartreux,Cuvée des Chartreux Belle Emilie Rouge,3.4,1086,6.88,Francia,Sin región,Sin maridaje
Cellier des Chartreux,Le Chant du Merle Merlot,3.5,368,6.88,Francia,Sin región,Sin maridaje
Cellier des Chartreux,CAB Grand Prébos Cabernet Sauvignon,4.1,45,6.88,Francia,Sin región,Sin maridaje
Gérard Bertrand,Autrement Merlot,3.5,108,6.9,Francia,Sin región,Sin maridaje
Singla,Cuve No. 5,3.9,127,6.9,Francia,Sin región,Sin maridaje
Gérard Bertrand,Naturae Cabernet Sauvignon,3.7,98,6.9,Francia,Sin región,Sin maridaje
Domaine Saint Jean de la Cavalerie,Grande Reserve Merlot - Cabernet,3.7,704,6.9,Francia,Sin región,Sin maridaje
Gérard Bertrand,6ème Sens Rouge,3.6,177,6.9,Francia,Sin región,Sin maridaje
Yvon Mau,Revelations d'Hubert de Bouard Château Boutillot Bordeaux,3.7,33,6.9,Francia,Sin región,Sin maridaje
Domaine Les Prunelles,Merlot,3.3,39,6.9,Francia,Sin región,Sin maridaje
Les Vignerons du Sommiérois,Tiberius Rouge,3.2,174,6.9,Francia,Sin región,Sin maridaje
Gérard Bertrand,Autrement Cabernet Sauvignon,3.5,38,6.9,Francia,Sin región,Sin maridaje
Gérard Bertrand,Naturae Merlot,3.6,147,6.9,Francia,Sin región,Sin maridaje
Gérard Bertrand,Naturae Syrah,3.6,104,6.9,Francia,Sin región,Sin maridaje
Innowine,Cépage Libre Rouge,3.5,393,6.94,Francia,Sin región,Sin maridaje
Premius,La Réserve Bordeaux Supérieur,3.6,115,6.95,Francia,Sin región,Sin maridaje
Château du Donjon,Le P'tit Coup Rouge,3.5,235,6.95,Francia,Sin región,Sin maridaje
Oisly Thésée,Vallée des Rois Gamay Touraine,3.6,62,6.95,Francia,Sin región,Sin maridaje
Domaine de La Bastide - Vincent & Stéphanie Boyer,Côtes-du-Rhône Rouge,3.7,1199,6.99,Francia,Sin región,Sin maridaje
Les Jamelles,Mourvèdre,3.9,103,6.99,Francia,Sin región,Sin maridaje
Gratien & Meyer,Saumur Champigny,3.3,211,7.0,Francia,Sin región,Sin maridaje
Domaine des Pasquiers,Vaucluse,3.4,393,7.0,Francia,Sin región,Sin maridaje
Marrenon,Capella,3.7,33,7.02,Francia,Sin región,Sin maridaje
Domaine de Tara,Terre d'Ocres Rouge,3.5,44,7.02,Francia,Sin región,Sin maridaje
Gayda,Flying Solo Grenache - Syrah,3.4,3367,7.15,Francia,Sin región,Sin maridaje
Dom Brial,Les Camines Rouge,3.9,35,7.15,Francia,Sin región,Sin maridaje
Blason Timberlay,Bordeaux Merlot - Cabernet Sauvignon,3.3,38,7.2,Francia,Sin región,Sin maridaje
Bruno Andreu,Aromatic Merlot,3.5,99,7.2,Francia,Sin región,Sin maridaje
Château Morillon,Bordeaux Rouge,3.4,57,7.2,Francia,Sin región,Sin maridaje
Domaine Deshenrys,Syrah - Merlot,3.3,302,7.25,Francia,Sin región,Sin maridaje
Clos del Rey,Baby del Rey,3.7,69,7.25,Francia,Sin región,Sin maridaje
Leblanc - Domaine les Closserons,Andecavum Rúbéus,3.8,37,7.3,Francia,Sin región,Sin maridaje
Les Vignerons du Sommiérois,Rouge Tauride,3.6,26,7.3,Francia,Sin región,Sin maridaje
Les Jamelles,Merlot,3.6,4980,7.3,Francia,Sin región,Sin maridaje
Chateau des Hospices,Nova Ona Rouge,3.7,114,7.3,Francia,Sin región,Sin maridaje
La Belle Angèle,Pinot Noir,3.5,2014,7.3,Francia,Sin región,Sin maridaje
Château de Châteauneuf,Bordeaux,3.3,691,7.3,Francia,Sin región,Sin maridaje
Château de Péna,Ninet de Péna Rouge,3.5,213,7.3,Francia,Sin región,Sin maridaje
Chateau des Hospices,Nova Ona Rouge,3.7,114,7.3,Francia,Sin región,Sin maridaje
Vignobles Jonqueres d'Oriola,Villa d'Oriola Les Terrasses Rouge,3.7,31,7.3,Francia,Sin región,Sin maridaje
Les Jamelles,Grenache Rouge,3.8,1145,7.3,Francia,Sin región,Sin maridaje
Domaine d'Aubaret,Merlot,3.4,46,7.34,Francia,Sin región,Sin maridaje
Vinovalie,Sang Mêlé,4.1,146,7.35,Francia,Sin región,Sin maridaje
Emmanuel Fellot Vigneron,Vieilles Vignes Beaujolais Nouveau,3.4,64,7.35,Francia,Sin región,Sin maridaje
Les Goubert,Côtes-du-Rhône,3.5,181,7.38,Francia,Sin región,Sin maridaje
Domaine Piquemal,Justin Côtes Catalanes,3.4,114,7.4,Francia,Sin región,Sin maridaje
EnvyFol,Merlot,3.7,256,7.4,Francia,Sin región,Sin maridaje
EnvyFol,G.S.M,3.9,35,7.4,Francia,Sin región,Sin maridaje
Domaine Deshenrys,Marselan Edition Solo,3.5,33,7.4,Francia,Sin región,Sin maridaje
Les Jamelles,Syrah,3.7,78,7.4,Francia,Sin región,Sin maridaje
EnvyFol,Syrah,3.7,333,7.4,Francia,Sin región,Sin maridaje
Gérard Bertrand,Naturae Minervois Sans Sulfites Ajoutés,3.6,37,7.4,Francia,Sin región,Sin maridaje
Colette & Léon,Beaujolais Villages Rouge,3.6,32,7.43,Francia,Sin región,Sin maridaje
Château de Macard,Bordeaux Supérieur,3.7,60,7.43,Francia,Sin región,Sin maridaje
Gérard Bertrand,Autrement Corbières,3.3,154,7.45,Francia,Sin región,Sin maridaje
Château Gravelines,Aliénor Côtes de Bordeaux Rouge,3.6,162,7.45,Francia,Sin región,Sin maridaje
Gérard Bertrand,Naturae Corbières,3.5,648,7.45,Francia,Sin región,Sin maridaje
Gérard Bertrand,Autrement Languedoc,3.3,317,7.45,Francia,Sin región,Sin maridaje
Les Vignerons de Buzet,Tradition Rouge,3.5,143,7.5,Francia,Sin región,Sin maridaje
Jerome Quiot,Côtes du Rhône,3.5,358,7.5,Francia,Sin región,Sin maridaje
Pelvillain Vins,Côt Côt Côt Malbec,3.8,212,7.5,Francia,Sin región,Sin maridaje
Chateau Amanieu d'Albret,L'Initial Bordeaux,3.8,68,7.5,Francia,Sin región,Sin maridaje
Marrenon,Classique Luberon,3.7,127,7.5,Francia,Sin región,Sin maridaje
Les Notables de Maucaillou,Le B de Maucaillou,3.7,1062,7.5,Francia,Sin región,Sin maridaje
Château Cantelaube,Château Puy Longa Bordeaux,3.6,120,7.5,Francia,Sin región,Sin maridaje
Château Reindent,Bordeaux Supérieur,3.7,197,7.5,Francia,Sin región,Sin maridaje
Domaine de Gournier,Demain...! Syrah,3.8,62,7.5,Francia,Sin región,Sin maridaje
Domaine la Provenquière,Cuvée P Cabernet Franc - Merlot,3.7,215,7.5,Francia,Sin región,Sin maridaje
Château Franc-Baudron,Recto Bordeaux,3.6,143,7.5,Francia,Sin región,Sin maridaje
Yvon Mau,Best Bordeaux Quality,3.1,136,7.5,Francia,Sin región,Sin maridaje
Le Clos des Suds,Bagatelle,3.8,29,7.5,Francia,Sin región,Sin maridaje
Sainte Marie des Crozes,La 4ème Corbières,3.8,258,7.5,Francia,Sin región,Sin maridaje
Château Adelaide,Cuvée Tradition Rouge,3.8,27,7.5,Francia,Sin región,Sin maridaje
Maggio Vini,Pithoi Nero d'Avola,3.4,266,3.9,Italia,Sin región,Sin maridaje
Rocca Bastia,Cabernet,3.3,202,4.3,Italia,Sin región,Sin maridaje
Contrada Monte,Negroamaro,3.2,254,4.3,Italia,Sin región,Sin maridaje
Nuttata,Nerello Mascalese,3.1,200,4.5,Italia,Sin región,Sin maridaje
Nuttata,Frappato,3.3,240,4.5,Italia,Sin región,Sin maridaje
Nuttata,Nero d'Avola,3.1,429,4.5,Italia,Sin región,Sin maridaje
Grottarossa,Rosso Degli Scudi Syrah,3.5,26,4.5,Italia,Sin región,Sin maridaje
Grottarossa,Rosso degli Scudi Nero d'Avola,3.4,388,4.5,Italia,Sin región,Sin maridaje
Vivabío,Syrah,3.5,65,4.6,Italia,Sin región,Sin maridaje
Fondo Antico,I Versi Rosso,3.3,357,4.76,Italia,Sin región,Sin maridaje
Carpineto,Toscana di Novello,3.5,66,4.78,Italia,Sin región,Sin maridaje
Fantini,Primo Sangiovese - Merlot,3.7,3132,4.8,Italia,Sin región,Sin maridaje
Pirovano,Collezione Cabernet,3.7,37,4.8,Italia,Sin región,Sin maridaje
Contrada Monte,Primitivo,3.3,1043,4.8,Italia,Sin región,Sin maridaje
Poggio di Venere,Syrah,3.2,25,4.83,Italia,Sin región,Sin maridaje
Azienda Vinicola Losito e Guarini,Millenovecentodieci Nero di Troia,3.4,79,4.9,Italia,Sin región,Sin maridaje
Pasqua Vigneti e Cantine,Montepulciano d’Abruzzo ,3.7,39,5.2,Italia,Sin región,Sin maridaje
Canapi,Nero d'Avola,3.4,1666,5.2,Italia,Sin región,Sin maridaje
Canapi,Shiraz,3.5,583,5.2,Italia,Sin región,Sin maridaje
Pirovano,Collezione Nero d'Avola,3.7,987,5.3,Italia,Sin región,Sin maridaje
Torri Cantine,With Love BBQ & Bistecca Syrah,3.5,34,5.4,Italia,Sin región,Sin maridaje
Cantine Silvestri,Castelli Romani Rosso,3.2,829,5.5,Italia,Sin región,Sin maridaje
Pirovano,Collezione Cabernet,3.6,202,5.5,Italia,Sin región,Sin maridaje
Pirovano,Collezione Primitivo,3.8,3813,5.5,Italia,Sin región,Sin maridaje
Piersanti,L'Agreste Conero Rosso,3.5,29,5.6,Italia,Sin región,Sin maridaje
Riondo,Merlot,3.6,705,5.63,Italia,Sin región,Sin maridaje
Cavalchina,Bardolino,3.7,253,5.65,Italia,Sin región,Sin maridaje
Sanmartino,Refosco dal Peduncolo Rosso,3.5,136,5.7,Italia,Sin región,Sin maridaje
Cantine Pellegrino,Tareni Frappato,3.6,1984,5.7,Italia,Sin región,Sin maridaje
Pieve Castelletto,Chianti,3.0,943,5.7,Italia,Sin región,Sin maridaje
Sanmartino,Cabernet,3.2,79,5.7,Italia,Sin región,Sin maridaje
Riondo,Corvina Veronese,3.9,151,5.74,Italia,Sin región,Sin maridaje
Duca di Salaparuta,Corvo,4.1,189,5.8,Italia,Sin región,Sin maridaje
Cantina Colomba Bianca,Kore Nero d'Avola,3.8,936,5.8,Italia,Sin región,Sin maridaje
Noi Vignaioli Piemontesi,Barbera,3.1,41,5.8,Italia,Sin región,Sin maridaje
Casalforte,Merlot,3.6,407,5.9,Italia,Sin región,Sin maridaje
Casalforte,Corvina Veronese,3.7,171,5.9,Italia,Sin región,Sin maridaje
Maggio Vini,Antura Nero d'Avola,3.8,297,5.9,Italia,Sin región,Sin maridaje
Piccini,Così Chianti Biologico,3.6,48,5.9,Italia,Sin región,Sin maridaje
Ippolito 1845,Cirò Rosso Classico,3.2,355,6.0,Italia,Sin región,Sin maridaje
Cantina Sant'Andrea,Riflessi Rosso,3.5,508,6.0,Italia,Sin región,Sin maridaje
Borga,Cabernet Franc,3.5,206,6.1,Italia,Sin región,Sin maridaje
Vinosia Luciano Ercolino,Orus Negroamaro,3.7,58,6.16,Italia,Sin región,Sin maridaje
Stocco,Pinot Nero,3.6,198,6.2,Italia,Sin región,Sin maridaje
Stocco,Refosco dal Penduncolo Rosso,3.7,60,6.2,Italia,Sin región,Sin maridaje
Corvo,Glicine Rosso,3.5,1528,6.25,Italia,Sin región,Sin maridaje
Azienda Vinicola Losito e Guarini,C'Era Una Volta Il Buttafuoco,3.6,217,6.43,Italia,Sin región,Sin maridaje
Azienda Vinicola Losito e Guarini,C'Era Una Volta Il Pinot Noir,3.2,505,6.43,Italia,Sin región,Sin maridaje
Torrevento,Castel del Monte Bolonero,3.5,5488,6.44,Italia,Sin región,Sin maridaje
Barone Montalto,Due Mondi Nero d'Avola,3.7,26,6.5,Italia,Sin región,Sin maridaje
Lamberti,Ca'Preella Bardolino,3.3,161,6.5,Italia,Sin región,Sin maridaje
Vinicola del Sannio,Vignolè Falanghina del Sannio,3.1,55,6.5,Italia,Sin región,Sin maridaje
Cantina Vignaioli del Morellino di Scansano,Scantianum  Sangiovese,3.7,1442,6.5,Italia,Sin región,Sin maridaje
Barone Montalto,Due Mondi Syrah,3.5,25,6.5,Italia,Sin región,Sin maridaje
Barone Montalto,Due Mondi Cabernet Sauvignon - Nero d'Avola,3.9,34,6.5,Italia,Sin región,Sin maridaje
Cantina Zaccagnini,Le Terre dell'Abate Montepulciano d'Abruzzo,3.5,180,6.5,Italia,Sin región,Sin maridaje
Cecchi,Chianti,3.7,253,6.5,Italia,Sin región,Sin maridaje
Piccini,Chianti,3.7,146,6.5,Italia,Sin región,Sin maridaje
Piccini,Buon Governo Toscana Governo all'uso,3.7,48,6.5,Italia,Sin región,Sin maridaje
Terre di Rai,Merlot,3.3,63,6.5,Italia,Sin región,Sin maridaje
Sibiliana,Roceno Syrah,3.6,269,6.5,Italia,Sin región,Sin maridaje
Villamedoro,Montepulciano d'Abruzzo,3.5,5230,6.5,Italia,Sin región,Sin maridaje
Azienda Agricola Proietti,Corte Alla Luna Cesanese di Olevano Romano,3.4,155,6.5,Italia,Sin región,Sin maridaje
Sibiliana,Sensale Nero d'Avola,3.7,27,6.5,Italia,Sin región,Sin maridaje
Cusumano,Merlot,3.5,26,6.5,Italia,Sin región,Sin maridaje
Fantini,Fantini Montepulciano d'Abruzzo,3.6,268,6.5,Italia,Sin región,Sin maridaje
Tenute Orestiadi,Molino a Vento Syrah,3.5,1141,6.54,Italia,Sin región,Sin maridaje
Vinosia Luciano Ercolino,Aglianico,3.5,486,6.6,Italia,Sin región,Sin maridaje
Feudi Branciforti dei Bordonaro,Nero d'Avola,3.6,5659,6.6,Italia,Sin región,Sin maridaje
Rallo,Il Principe Nero d'Avola,3.5,25,6.6,Italia,Sin región,Sin maridaje
Feudi Branciforti dei Bordonaro,Merlot,3.5,184,6.6,Italia,Sin región,Sin maridaje
Feudi Branciforti dei Bordonaro,Syrah,3.6,681,6.6,Italia,Sin región,Sin maridaje
Feudi Branciforti dei Bordonaro,Nero d'Avola,3.8,206,6.6,Italia,Sin región,Sin maridaje
Borgo Molino,I Scuri Merlot,3.7,44,6.6,Italia,Sin región,Sin maridaje
Baglio di Pianetto,Syrah,3.6,81,6.65,Italia,Sin región,Sin maridaje
Virgo,Aglianico,3.7,81,6.7,Italia,Sin región,Sin maridaje
Vinosia Luciano Ercolino,Aglianico,3.5,486,6.7,Italia,Sin región,Sin maridaje
Cantina del Dolcetto di Dogliani,Podere Dogliani,3.5,3747,6.7,Italia,Sin región,Sin maridaje
Sibiliana,Roceno Syrah,3.6,269,6.7,Italia,Sin región,Sin maridaje
Terre di Rai,Cabernet Sauvignon,3.4,86,6.7,Italia,Sin región,Sin maridaje
Frescobaldi,Pian di Rémole Rosso,3.4,62,6.71,Italia,Sin región,Sin maridaje
Kellerei Meran Burggräfler,Meraner Burggräfler,3.2,142,6.75,Italia,Sin región,Sin maridaje
Tenute Orestiadi,Molino a Vento Nerello Mascalese,3.7,2241,6.75,Italia,Sin región,Sin maridaje
Duca di Saragnano,Nero di Troia Puglia,4.0,41,6.8,Italia,Sin región,Sin maridaje
Nuraghe Supramonte,Cannonau di Sardegna,3.3,561,6.8,Italia,Sin región,Sin maridaje
Montelliana,Merlot Montello e Colli Asolani,3.4,155,6.8,Italia,Sin región,Sin maridaje
Sibiliana,Roceno Nerello Mascalese,3.5,899,6.8,Italia,Sin región,Sin maridaje
B.IO - bpuntoio,Primitivo,4.0,48,6.81,Italia,Sin región,Sin maridaje
Zenato,Bardolino,3.6,183,6.88,Italia,Sin región,Sin maridaje
Azienda Vinicola Losito e Guarini,Millenovecentodieci Primitivo,3.6,151,6.9,Italia,Sin región,Sin maridaje
Nuraghe Supramonte,Cannonau di Sardegna,3.3,561,6.9,Italia,Sin región,Sin maridaje
Tenute Orestiadi,Syrah,3.6,159,6.9,Italia,Sin región,Sin maridaje
Vinosia Luciano Ercolino,Le Sorbole,3.5,1121,6.9,Italia,Sin región,Sin maridaje
Pasqua Vigneti e Cantine,Bardolino,3.4,3130,6.9,Italia,Sin región,Sin maridaje
Cantine Pellegrino,Tareni del Duca Nero d'Avola,3.6,3988,6.9,Italia,Sin región,Sin maridaje
Bolla,Bardolino Classico,3.4,187,6.9,Italia,Sin región,Sin maridaje
Cellaro,Quattro Borghi Nerello Mascalese,3.9,1620,6.9,Italia,Sin región,Sin maridaje
Cellaro,Quattro Borghi Syrah,3.7,117,6.9,Italia,Sin región,Sin maridaje
Cellaro,Quattro Borghi Nero d'Avola,3.5,394,6.9,Italia,Sin región,Sin maridaje
Tenute Orestiadi,Nero d'Avola Bio,3.8,80,6.9,Italia,Sin región,Sin maridaje
Federici,Ùle (volo) Syrah,3.7,247,6.9,Italia,Sin región,Sin maridaje
Vigneti Reale,Norie Negroamaro,3.9,48,6.9,Italia,Sin región,Sin maridaje
Cantina di Custoza,Terre In Fiore Bardolino,3.4,212,6.9,Italia,Sin región,Sin maridaje
Cantine due Palme,Tenuta San Marco Primitivo,3.6,1347,6.9,Italia,Sin región,Sin maridaje
Pasqua Vigneti e Cantine,Bardolino,3.7,62,6.9,Italia,Sin región,Sin maridaje
Saladini Pilastri,Rosso Piceno,3.6,9860,6.9,Italia,Sin región,Sin maridaje
Costantino,Aria Siciliana Syrah,3.8,58,6.93,Italia,Sin región,Sin maridaje
Loggia dei Sani,Oro dei Sani Chianti,3.6,28,6.94,Italia,Sin región,Sin maridaje
Cantina di Negrar,Corvina Verona,3.7,105,6.95,Italia,Sin región,Sin maridaje
Madaudo 1945,Fermento Siciliano,3.7,155,6.97,Italia,Sin región,Sin maridaje
Grimaldi Luigino,Barbera d'Alba,3.5,489,6.97,Italia,Sin región,Sin maridaje
Cecchi,Chianti Riserva,3.5,54,6.99,Italia,Sin región,Sin maridaje
Zaglia,Refosco dal Peduncolo Rosso,3.5,206,7.0,Italia,Sin región,Sin maridaje
Planeta,La Segreta Il Rosso,3.6,48,7.0,Italia,Sin región,Sin maridaje
Zaglia,Cabernet Franc,3.3,126,7.0,Italia,Sin región,Sin maridaje
Zonin,Merlot Friuli Aquileia,3.5,114,7.0,Italia,Sin región,Sin maridaje
Torrevento,Nero Di Troia Torre Del Falco,3.7,34,7.0,Italia,Sin región,Sin maridaje
Ciù Ciù,Piceno Bacchus,3.8,8254,7.05,Italia,Sin región,Sin maridaje
Dorgali,Bardia Isola dei Nuraghi,3.5,437,7.09,Italia,Sin región,Sin maridaje
Girlan,448 s.l.m. Rosso,3.3,72,7.1,Italia,Sin región,Sin maridaje
Streda Belvedere,Chianti,3.4,114,7.19,Italia,Sin región,Sin maridaje
Vinosia Luciano Ercolino,Piedirosso,3.4,151,7.2,Italia,Sin región,Sin maridaje
Federici,Nero Buono,3.7,40,7.2,Italia,Sin región,Sin maridaje
Azienda Vinicola Losito e Guarini,C'Era Una Volta Il Pinot Noir,3.2,505,7.21,Italia,Sin región,Sin maridaje
Casorzo,Barbera del Monferrato,3.1,48,7.25,Italia,Sin región,Sin maridaje
